ID	Log2fc_(FLT)v(GC)	Stat_(FLT)v(GC)	P.value_(FLT)v(GC)	Adj.p.value_(FLT)v(GC)
AT1G02130	0.181246461	0.832545546	0.405101081	0.630288784
AT1G02140	0.065286514	0.552300097	0.580742764	0.76393647
AT1G02145	0.176524145	1.080016183	0.280134974	0.511043689
AT1G02150	-0.195617935	-0.856220879	0.391875616	0.61856206
AT1G02160	0.172624003	0.889203319	0.373893819	0.602065317
AT1G02170	-0.27414708	-0.980532124	0.326823521	0.557690275
AT1G02180	0.167054925	1.121491524	0.262078698	0.489916637
AT1G02190	0.072519082	0.194698481	0.845629001	0.923901508
AT1G02205	0.573166629	2.179240128	0.029313834	0.115806819
AT1G02220	0.377121217	0.496803522	0.619327612	0.789948294
AT1G02230	-0.678019796	-1.15700357	0.247270902	0.473581326
AT1G02260	0.109333582	0.348430581	0.727516839	0.857517442
AT1G02270	0.273139556	1.215453723	0.224193089	0.447674209
AT1G02280	0.098692354	0.601466995	0.547528988	0.740166294
AT1G02290	0.193496547	1.11201444	0.266131942	0.494504879
AT1G02300	0.130291801	0.375223007	0.707494621	0.845960958
AT1G02305	-0.370705561	-2.249897399	0.024455459	0.101781083
AT1G02310	0.187084482	0.543077877	0.587076184	0.769136582
AT1G02330	-0.106599886	-0.760334929	0.447054408	0.662888516
AT1G02335	-0.917744229	-1.972314307	0.048573737	0.164779505
AT1G02340	-0.012447449	-0.037509978	0.970078385	0.9876005
AT1G02350	0.410571007	0.499277211	0.617584108	NA
AT1G02360	-1.042757503	-1.851412433	0.064110242	0.19908184
AT1G02370	0.015208373	0.072887497	0.941895643	0.974624274
AT1G02380	-0.13415028	-0.426071067	0.670056062	0.822196956
AT1G02390	-0.036368042	-0.063653434	0.949246184	0.978181348
AT1G02400	0.347640168	0.887257765	0.374940139	0.603318139
AT1G02405	-0.094486985	-0.201841903	0.840040322	0.920449937
AT1G02410	0.305989751	1.426641847	0.153683156	0.35288577
AT1G02420	0.610772244	2.228767983	0.025829346	0.105795729
